Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-21 16:34:33.757000,4339.35483871,0,4490.32258065,0,4660.96774194,0,4067.74193548,0,4487.74193548,0,4389.03225806,0,4297.09677419,0,4210.96774194,0,4870.0,0,4441.29032258,0,4264.51612903,0,4614.83870968,0,5031.93548387,0,4410.0,0,0,0,?
2018-08-21 16:34:33.765000,4426.4516129,0,4588.70967742,0,4738.06451613,0,4164.51612903,0,4492.58064516,0,4490.64516129,0,4343.5483871,0,4240.32258065,0,4953.5483871,0,4552.25806452,0,4258.70967742,0,4680.0,0,5084.51612903,0,4461.61290323,0,0,0,?
2018-08-21 16:34:33.772000,4390.64516129,0,4563.22580645,0,4725.48387097,0,4155.80645161,0,4501.29032258,0,4456.12903226,0,4310.96774194,0,4236.4516129,0,4938.70967742,0,4567.41935484,0,4270.0,0,4704.51612903,0,5051.29032258,0,4420.32258065,0,0,0,?
2018-08-21 16:34:33.783000,4332.90322581,0,4478.38709677,0,4614.19354839,0,4121.61290323,0,4458.06451613,0,4389.03225806,0,4260.64516129,0,4229.03225806,0,4845.48387097,0,4514.19354839,0,4260.32258065,0,4632.90322581,0,4955.80645161,0,4385.16129032,0,0,0,?
2018-08-21 16:34:33.790000,4340.32258065,0,4514.83870968,0,4614.83870968,0,4175.48387097,0,4470.0,0,4394.51612903,0,4322.90322581,0,4262.58064516,0,4867.09677419,0,4550.0,0,4291.29032258,0,4685.80645161,0,4967.74193548,0,4379.67741935,0,0,0,?
2018-08-21 16:34:33.798000,4291.93548387,0,4431.29032258,0,4564.83870968,0,4126.4516129,0,4484.83870968,0,4363.87096774,0,4262.90322581,0,4212.58064516,0,4774.51612903,0,4513.5483871,0,4264.19354839,0,4617.74193548,0,4900.64516129,0,4363.5483871,0,0,0,?
2018-08-21 16:34:33.804000,4309.35483871,0,4461.29032258,0,4620.96774194,0,4173.87096774,0,4493.5483871,0,4380.32258065,0,4281.29032258,0,4251.61290323,0,4781.93548387,0,4529.03225806,0,4240.0,0,4645.48387097,0,4906.4516129,0,4323.5483871,0,0,0,?
2018-08-21 16:34:33.816000,4347.41935484,0,4532.90322581,0,4627.74193548,0,4167.09677419,0,4450.64516129,0,4369.03225806,0,4297.09677419,0,4247.09677419,0,4799.67741935,0,4505.16129032,0,4278.06451613,0,4652.25806452,0,4920.0,0,4396.12903226,0,0,0,?
2018-08-21 16:34:33.821000,4330.96774194,0,4491.93548387,0,4643.22580645,0,4201.29032258,0,4474.83870968,0,4400.64516129,0,4310.32258065,0,4247.41935484,0,4752.90322581,0,4474.19354839,0,4257.09677419,0,4628.38709677,0,4944.83870968,0,4382.25806452,0,0,0,?
2018-08-21 16:34:33.830000,4351.29032258,0,4513.22580645,0,4714.83870968,0,4246.4516129,0,4486.4516129,0,4425.48387097,0,4310.96774194,0,4266.12903226,0,4817.09677419,0,4492.58064516,0,4273.22580645,0,4703.22580645,0,4968.70967742,0,4389.67741935,0,0,0,?
2018-08-21 16:34:33.834000,4290.96774194,0,4475.16129032,0,4651.93548387,0,4162.58064516,0,4427.41935484,0,4339.35483871,0,4302.25806452,0,4212.90322581,0,4785.16129032,0,4421.61290323,0,4248.06451613,0,4640.64516129,0,4865.48387097,0,4356.12903226,0,0,0,?
2018-08-21 16:34:33.847000,4290.32258065,0,4474.51612903,0,4656.77419355,0,4131.29032258,0,4467.09677419,0,4330.0,0,4273.22580645,0,4244.83870968,0,4793.22580645,0,4429.03225806,0,4269.03225806,0,4580.64516129,0,4850.64516129,0,4351.29032258,0,0,0,?
2018-08-21 16:34:33.852000,4309.03225806,0,4459.67741935,0,4647.09677419,0,4102.90322581,0,4431.29032258,0,4348.70967742,0,4288.06451613,0,4240.96774194,0,4820.96774194,0,4462.25806452,0,4245.16129032,0,4594.19354839,0,4834.83870968,0,4322.58064516,0,0,0,?
2018-08-21 16:34:33.861000,4297.09677419,0,4469.03225806,0,4650.64516129,0,4100.32258065,0,4438.38709677,0,4306.77419355,0,4268.06451613,0,4254.51612903,0,4838.70967742,0,4467.74193548,0,4229.67741935,0,4604.83870968,0,4794.83870968,0,4326.77419355,0,0,0,?
2018-08-21 16:34:33.867000,4330.64516129,0,4489.67741935,0,4696.4516129,0,4169.67741935,0,4451.61290323,0,4386.77419355,0,4338.06451613,0,4275.16129032,0,5037.41935484,0,4519.03225806,0,4258.70967742,0,4622.90322581,0,4844.51612903,0,4389.03225806,0,0,0,?
2018-08-21 16:34:33.877000,4264.83870968,0,4454.83870968,0,4635.16129032,0,4082.58064516,0,4439.35483871,0,4296.77419355,0,4282.25806452,0,4210.64516129,0,5008.38709677,0,4471.93548387,0,4242.90322581,0,4540.32258065,0,4743.5483871,0,4304.19354839,0,0,0,?
2018-08-21 16:34:33.883000,4255.48387097,0,4416.4516129,0,4589.35483871,0,4030.96774194,0,4407.41935484,0,4290.64516129,0,4277.74193548,0,4255.48387097,0,5013.22580645,0,4464.19354839,0,4258.38709677,0,4516.4516129,0,4741.61290323,0,4299.35483871,0,0,0,?
2018-08-21 16:34:33.893000,4265.16129032,0,4458.38709677,0,4654.19354839,0,4085.80645161,0,4456.12903226,0,4306.12903226,0,4304.83870968,0,4262.90322581,0,5000.0,0,4481.93548387,0,4239.35483871,0,4563.87096774,0,4727.41935484,0,4307.74193548,0,0,0,?
2018-08-21 16:34:33.898000,4271.29032258,0,4394.51612903,0,4628.06451613,0,4122.25806452,0,4437.74193548,0,4302.58064516,0,4277.41935484,0,4259.35483871,0,4953.22580645,0,4466.4516129,0,4228.38709677,0,4520.96774194,0,4723.87096774,0,4324.83870968,0,0,0,?
2018-08-21 16:34:33.909000,4328.06451613,0,4479.35483871,0,4680.96774194,0,4178.06451613,0,4431.29032258,0,4332.58064516,0,4319.03225806,0,4237.41935484,0,5015.48387097,0,4529.35483871,0,4247.41935484,0,4591.29032258,0,4770.0,0,4333.87096774,0,0,0,?
2018-08-21 16:34:33.916000,4298.38709677,0,4429.03225806,0,4621.29032258,0,4169.03225806,0,4466.12903226,0,4307.09677419,0,4263.5483871,0,4226.12903226,0,4939.67741935,0,4533.22580645,0,4250.32258065,0,4600.32258065,0,4713.87096774,0,4313.22580645,0,0,0,?
